Reaction	In-Pathway	Names
6PFRUCTPHOS-RXN	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
RXN-9514	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-14118		
PREPHENATEDEHYDROG-RXN	TYRSYN	L-tyrosine biosynthesis I
DIOHBUTANONEPSYN-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
PEPSYNTH-RXN	GLUCONEO-PWY	gluconeogenesis I
RXN2B4Q-53		
RXN-14461		
RXN-9003		
RXN-9658	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-22388		
RXN-12142		
1.11.1.12-RXN	PWY-4081	glutathione-peroxide redox reactions
THIAZOLSYN3-RXN	PWY-7356	thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
AMP-DEPHOSPHORYLATION-RXN	SALVADEHYPOX-PWY	adenosine nucleotides degradation II // purine ribonucleotide/ribonucleoside metabolism
RXN-17752		
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway) // protocatechuate branch of the 3-oxoadipate pathway // protocatechuate branch of the 3-ketoadipate pathway // protocatechuate branch of the &beta;-ketoadipate pathway // protocatechuate degradation via ortho-cleavage // protocatechuate degradation via the &beta;-ketoadipate pathway // protocatechuate 3,4-cleavage
HEMN-RXN	HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)
RXN-18211	RXN-14986	
RXN-22608		
RXN-14189		
ACETYLORNTRANSAM-RXN	GLUTORN-PWY // ARGSYNBSUB-PWY	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)
RXN-21566	PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation // sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor biosynthesis // bis-MGD sulfulylation
CARDIOLIPSYN-RXN	PWY-5668	cardiolipin biosynthesis I
BADH-RXN	BETSYN-PWY // CHOLINE-BETAINE-ANA-PWY	glycine betaine biosynthesis I (Gram-negative bacteria) // choline degradation I // choline betaine anabolism
FOLYLPOLYGLUTAMATESYNTH-RXN	PWY-2161	folate polyglutamylation
PEPCARBOXYKIN-RXN	GLUCONEO-PWY	gluconeogenesis I
RXN-14304	PWY-8130	5'-deoxyadenosine degradation I // 5'-deoxyadenosine salvage I
F16BDEPHOS-RXN	GLUCONEO-PWY	gluconeogenesis I
ADENODEAMIN-RXN	SALVADEHYPOX-PWY // PWY0-1296 // PWY-6609	adenosine nucleotides degradation II // purine ribonucleotide/ribonucleoside metabolism // purine ribonucleosides degradation // adenine and adenosine salvage III // adenosine nucleotides salvage III
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN		
RXN-22497		
RXN-22729	ANTHRANSYN-RXN	
RXN-2881		
RXN-17959	PWY-7807	glyphosate degradation III // glyphosate C-P lyase enzyme system
RXN-12541		
RXN0-2144	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I
RXN0-6510	PWY0-321	phenylacetate degradation I (aerobic)
RXN-12610	PWY-6893 // PWY-6907	thiamine diphosphate biosynthesis II (Bacillus) // vitamin B<sub>1</sub> biosynthesis II // thiamin diphosphate biosynthesis II (Bacillus) // thiamine diphosphate biosynthesis III (Staphylococcus) // vitamin B<sub>1</sub> biosynthesis III // thiamin diphosphate biosynthesis III (Staphylococcus)
RXN-22248		
PSERTRANSAMPYR-RXN	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
RXN-14160		
RXNQT-4168		
RXN-16649	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN-8764	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
3-ISOPROPYLMALISOM-RXN	LEUSYN-PWY // RXN-13163	L-leucine biosynthesis
RXN-13616	PWY0-1337	oleate &beta;-oxidation
RXN-1381	PWY-5667	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis
RXN-11952	PWY-5296	thiosulfate oxidation III (multienzyme complex) // Sox enzyme system // Paracoccus sulfur oxidation pathway // PSO pathway
RXN-11176	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
RXNMETA-12671	PWY0-321	phenylacetate degradation I (aerobic)
2.1.1.132-RXN		
RXN0-313		
RXN-15200		
RXN-19302	PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RXN-19344	PWY-7962 // RXN-19339	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
RXN0-3962	PWY-7268	cytosolic NADPH production (yeast)
325-BISPHOSPHATE-NUCLEOTIDASE-RXN		
D-PPENTOMUT-RXN	PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate degradation
SPERMIDINESYN-RXN	BSUBPOLYAMSYN-PWY	spermidine biosynthesis I // arginine degradation to spermidine // spermidine biosynthesis
TRYPTOPHAN--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
MALATE--COA-LIGASE-RXN	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
RXN-19300		
RXN-22025	PWY-8203	8-amino-7-oxononanoate biosynthesis IV // 7-keto-8-aminopelargonate biosynthesis IV
RXN-16949		
PANTEPADENYLYLTRAN-RXN	COA-PWY	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis
THREODEHYD-RXN	THREONINE-DEG2-PWY // RXN-14249	L-threonine degradation II // threonine dehydrogenase pathway // TDG pathway
HOMOCYSMETB12-RXN	1CMET2-PWY	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
RXN-7800	LEUSYN-PWY // RXN-13158	L-leucine biosynthesis
UDPGLUCEPIM-RXN	PWY-6317	D-galactose degradation I (Leloir pathway) // Leloir pathway
RXN-12573		
RXN-18392		
RXN-22315		
ACETYLHOMOSER-CYS-RXN	PWY-5344	L-homocysteine biosynthesis
METHIONINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
3.1.1.76-RXN		
RXN-9239		
RXN-14048	RXN-15130	
THIOREDOXIN-REDUCT-NADPH-RXN	THIOREDOX-PWY	thioredoxin pathway
RXN-14277	PWY0-1337	oleate &beta;-oxidation
TYROSINE-AMINOTRANSFERASE-RXN	TYRFUMCAT-PWY // PWY-5886 // TYRSYN	L-tyrosine degradation I // tyrosine fumarate catabolism // 3-(4-hydroxyphenyl)pyruvate biosynthesis // 4-hydroxyphenylpyruvic acid biosynthesis // 4-hydroxyphenylpyruvate biosynthesis // L-tyrosine biosynthesis I
2.7.1.148-RXN	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
RXN-13158		
RXN-18397	PWY-7855	ectoine degradation
R341-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
OHMETPYRKIN-RXN	PWY-6910 // PWY-7356	hydroxymethylpyrimidine salvage // HMP salvage // thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
VALINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN-22498		
BIOTIN-CARBOXYL-RXN	PWY0-1264	biotin-carboxyl carrier protein assembly // BCCP assembly
RXN-14858		
RXN-17355	2.7.3.9-RXN	
RXN0-7081	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-14325	CTPSYN-RXN	
RXN-21561	PWY-8165	cytidylyl molybdenum cofactor sulfurylation // sulfo-cytidylyl molybdopterin cofactor biosynthesis // MCD sulfulylation
RXN-9540	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN-9632	PWY-8280	stearate biosynthesis IV // stearic acid biosynthesis IV
MANDELATE-RACEMASE-RXN		
PHOSPHAGLYPSYN-RXN	PWY4FS-7 // PWY4FS-8 // PWY-5668 // PWY0-1545	phosphatidylglycerol biosynthesis I (plastidic) // phosphatidylglycerol biosynthesis II (non-plastidic) // cardiolipin biosynthesis I // cardiolipin biosynthesis III
RXN-20738		
R101-RXN	PWY-7855	ectoine degradation
HEMEOSYN-RXN		
GLUCISOM-RXN		
GLUTAMIN-RXN	GLUTAMINDEG-PWY // GLUTSYN-PWY // PWY-5921 // PWY490-4 // AMMASSIM-PWY // 6.3.5.6-RXN // 6.3.5.7-RXN // PABASYN-RXN // GLUTAMIDOTRANS-RXN // CTPSYN-RXN // CARBPSYN-RXN // GMP-SYN-GLUT-RXN // ANTHRANSYN-RXN // GLUTAMATESYN-RXN	L-glutamine degradation I // L-glutamate biosynthesis I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation // ammonia assimilation cycle III // ammonia assimilation III // GS/GOGAT pathway // imidazole glycerol phosphate synthase cyclase subunit // Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-) // Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)
H2PTEROATESYNTH-RXN	PWY2DNV-11	tetrahydrofolate biosynthesis II // folic acid biosynthesis II // folate biosynthesis II // THF biosynthesis II
RXN-16632	PWY-7663	gondoate biosynthesis (anaerobic) // <i>cis</i>-11-icosenoate biosynthesis // (11<i>Z</i>)-icos-11-enoate biosynthesis // (11<i>Z</i>)-icosenoate biosynthesis // gondoic acid biosynthesis // 11-eicosenoic acid biosynthesis
RXN-8769	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
ACETALD-DEHYDROG-RXN	PWY0-1477 // PWY-7180	ethanolamine utilization // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation
ENOYL-ACP-REDUCT-NADH-RXN	FASYN-ELONG-PWY	fatty acid elongation -- saturated
THYM-PHOSPH-RXN	PWY-7181	pyrimidine deoxyribonucleosides degradation
RXN-21230		
CDPREDUCT-RXN	PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
FUMHYDR-RXN	TCA	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
RXN-7719	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN // PWY-5046	4-methyl-2-oxopentanoate dehydrogenase (acylating) // 2-oxoisovalerate decarboxylation to isobutanoyl-CoA // branched-chain &alpha;-keto acid dehydrogenase system // branched-chain &alpha;-keto acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase system
RXN-19611	RXN-19609	
PHOSPHASERSYN-RXN	PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I
RXN-7566	PWY-8303	reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
DMBPPRIBOSYLTRANS-RXN	COBALSYN-PWY // PWY-5509	superpathway of adenosylcobalamin salvage from cobinamide I // adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
XMPXAN-RXN	PWY-5695	inosine 5'-phosphate degradation // IMP degradation // urate biosynthesis
DALADALALIG-RXN	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
2OXOGLUTDECARB-RXN	PWY-5084 // 2OXOGLUTARATEDEH-RXN	2-oxoglutarate decarboxylation to succinyl-CoA // 2-oxoglutarate dehydrogenase complex // 2-ketoglutarate dehydrogenase complex // 2-oxoglutarate dehydrogenase system // 2-ketoglutarate dehydrogenase system // &alpha;-ketoglutarate dehydrogenase system // 2-oxoglutarate dehydrogenation // &alpha;-ketoglutarate oxidative decarboxylation
RXN-16012	PWY-6048 // RXN-12573	methylthiopropanoate degradation I (cleavage) // MTPA degradation // methylthiopropionate degradation I (cleavage) // MTA-CoA hydrolase
RXN-15140		
5.5.1.2-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway) // protocatechuate branch of the 3-oxoadipate pathway // protocatechuate branch of the 3-ketoadipate pathway // protocatechuate branch of the &beta;-ketoadipate pathway // protocatechuate degradation via ortho-cleavage // protocatechuate degradation via the &beta;-ketoadipate pathway // protocatechuate 3,4-cleavage
RXN-22455	PWY-8280	stearate biosynthesis IV // stearic acid biosynthesis IV
RXN-14301	PWY-701 // METHIONINE-GAMMA-LYASE-RXN	L-methionine degradation II
DIHYDROFOLATEREDUCT-RXN	1CMET2-PWY	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
PEPTIDYLPROLYL-ISOMERASE-RXN		
GLYC3PDEHYDROGBIOSYN-RXN	PWY-5667 // PWY0-1319	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis // CDP-diacylglycerol biosynthesis II
RXN-12107		
N-ACETYLTRANSFER-RXN	GLUTORN-PWY // ARGSYNBSUB-PWY	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)
RXN-11951	PWY-5296	thiosulfate oxidation III (multienzyme complex) // Sox enzyme system // Paracoccus sulfur oxidation pathway // PSO pathway
ASPARTASE-RXN	PWY-8291 // PWY-8294 // GLUTDEG-PWY	L-aspartate degradation II (aerobic) // L-aspartate degradation III (anaerobic) // L-glutamate degradation II // L-glutamate - L-aspartate pathway // L-aspartate degradation
DCDPKIN-RXN	PWY-7197 // PWY-6545	pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
RXN-8767	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN0-1461	HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN		
RXN-22241	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
RXN-16624	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
ACETYL-COA-ACETYLTRANSFER-RXN	PWY1-3 // PWY-5741 // PWY0-1337	polyhydroxybutanoate biosynthesis // PHB biosynthesis // polyhydroxybutyrate biosynthesis // ethylmalonyl-CoA pathway // ethylmalonyl pathway // oleate &beta;-oxidation
RXN-18511		
RXN-14207		
ASPARTATEKIN-RXN	HOMOSERSYN-PWY // DAPLYSINESYN-PWY	L-homoserine biosynthesis // L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	PWY-7279 // PWY-3781	aerobic respiration II (cytochrome c) (yeast) // aerobic respiration I (cytochrome c)
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEU-DEG2-PWY // LEUSYN-PWY	L-leucine degradation I // L-leucine biosynthesis
RXN-2003	PWY-6458	benzoyl-CoA biosynthesis // benzoyl-coenzyme A biosynthesis
RXN-18204	RXNQT-4171	
RXN-22914	P-PANTOCYSLIG-RXN	
GLYCOLATEDEHYDRO-RXN	GLYOXDEG-PWY	glycolate and glyoxylate degradation II // glyoxylate degradation
1.4.1.21-RXN		
RXN-11181	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
RXN-15881	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
RXN-9224		
DIAMINOPIMEPIM-RXN	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
R311-RXN	PWY-7308	acrylonitrile degradation I
RXN-1623	PWY-5667	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis
CHORISMATE-SYNTHASE-RXN	PWY-6163	chorismate biosynthesis from 3-dehydroquinate
RXN-8761	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN-14136		
RXN-19921		
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	PANTO-PWY	phosphopantothenate biosynthesis I // vitamin B<sub>5</sub> biosynthesis
PROTOCATECHUATE-34-DIOXYGENASE-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway) // protocatechuate branch of the 3-oxoadipate pathway // protocatechuate branch of the 3-ketoadipate pathway // protocatechuate branch of the &beta;-ketoadipate pathway // protocatechuate degradation via ortho-cleavage // protocatechuate degradation via the &beta;-ketoadipate pathway // protocatechuate 3,4-cleavage
RXN-20676	PWY0-1337	oleate &beta;-oxidation
RXN-22706	PWY-3661	glycine betaine degradation I
RXN-9535	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN-22002	BIOTINLIG-RXN	
RXN-10462	PWY0-1319	CDP-diacylglycerol biosynthesis II
RXN-21560	PWY-8165	cytidylyl molybdenum cofactor sulfurylation // sulfo-cytidylyl molybdopterin cofactor biosynthesis // MCD sulfulylation
METHANETHIOL-OXIDASE-RXN	PWY-6047	dimethyl sulfide degradation I // DMS degradation // dimethylsulfide degradation I
MALATE-DEHYDROGENASE-NADP+-RXN	MALIC-NADP-RXN	
SUCCCOASYN-RXN	TCA	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
D-ALANINE-AMINOTRANSFERASE-RXN		
METHYLASPARTATE-AMMONIA-LYASE-RXN	PWY-5087	L-glutamate degradation VI (to pyruvate) // L-glutamate fermentation // mesaconate pathway // methylaspartate pathway // L-glutamic acid degradation VI (to pyruvic acid )
R310-RXN	PWY-7308	acrylonitrile degradation I
RXN-20407		
