# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
Kdo transfer to lipid IVA I|KDOSYN-PWY|Kdo Transfer to Lipid IVA|KDO-Lipid-IV-Transfer|0.21156943|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=KDOSYN-PWY
arsenate detoxification II (glutaredoxin)|PWY-4621|Arsenate Detoxification|Arsenate-Detoxification|0.21156943|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4621
methylphosphonate degradation I|PWY0-1533|Methylphosphonate Degradation|Methylphosphonate-Degradation|0.21156943|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1533
ppGpp biosynthesis|PPGPPMET-PWY|||0.2171898|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PPGPPMET-PWY
creatinine degradation I|CRNFORCAT-PWY|Creatinine Degradation|Creatinine-Degradation|0.22000001|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CRNFORCAT-PWY
selenate reduction|PWY-6932|||0.22000001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6932
ectoine degradation|PWY-7855|||0.22000001|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7855
L-carnitine degradation I|CARNMET-PWY|Carnitine Degradation|CARN-DEG|0.22000001|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CARNMET-PWY
glyphosate degradation III|PWY-7807|glyphosate degradation|Glyphosate-Degradation|0.22370347|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7807
heme b biosynthesis I (aerobic)|HEME-BIOSYNTHESIS-II|Heme b Biosynthesis|Heme-b-Biosynthesis|0.2491208|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=HEME-BIOSYNTHESIS-II
fatty acid beta-oxidation I|FAO-PWY|||0.25242978|5.285714|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=FAO-PWY
D-galactarate degradation II|PWY-6497|D-Galactarate Degradation|D-Galactarate-Degradation|0.25909555|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6497
chitin degradation II (Vibrio)|PWY-6902|Chitin Degradation|Chitin-Degradation|0.26062778|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6902
2,5-xylenol and 3,5-xylenol degradation|PWY-7698|||0.27076924|0.61538464|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7698
S-adenosyl-L-methionine cycle II|PWY-5041|S-adenosyl-L-methionine cycle|S-adenosyl-L-methionine-cycle|0.27947152|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5041
guanosine nucleotides degradation II|PWY-6606|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.28654382|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6606
tetrahydrofolate biosynthesis|PWY-6614|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6614
oleate beta-oxidation|PWY0-1337|||0.29333335|3.3333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1337
L-phenylalanine degradation I (aerobic)|PHENYLALANINE-DEG1-PWY|L-phenylalanine Degradation|PHENYLALANINE-DEG|0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PHENYLALANINE-DEG1-PWY
allantoin degradation to ureidoglycolate II (ammonia producing)|PWY-5698|Allantoin Degradation|Allantoin-degradation|0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5698
protein S-nitrosylation and denitrosylation|PWY-7798|||0.29333335|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7798
L-proline betaine degradation|P561-PWY|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P561-PWY
atrazine degradation I (aerobic)|P141-PWY|Atrazine Degradation|Atrazine-Degradation|0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P141-PWY
uracil degradation I (reductive)|PWY-3982|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3982
thymine degradation|PWY-6430|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6430
diphenyl ethers degradation|PWY-7747|||0.29333335|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7747
carbazole degradation|PWY-6550|||0.29333335|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6550
2,3-dihydroxybenzoate biosynthesis|PWY-5901|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5901
peptidoglycan maturation (meso-diaminopimelate containing)|PWY0-1586|Peptidoglycan Biosynthesis|Peptidoglycan-Biosynthesis|0.29333335|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1586
aminomethylphosphonate degradation|PWY-7805|||0.30574054|0.625|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7805
phenylacetate degradation I (aerobic)|PWY0-321|Phenylacetate Degradation|Phenylacetate-Degradation|0.3209779|1.6666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-321
UTP and CTP dephosphorylation I|PWY-7185|UTP and CTP Dephosphorylation|UTP-CTP-Dephosphorylation|0.32502013|1.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7185
catechol degradation to beta-ketoadipate|CATECHOL-ORTHO-CLEAVAGE-PWY|Catechol Degradation|Catechol-Degradation|0.3257847|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CATECHOL-ORTHO-CLEAVAGE-PWY
chlorosalicylate degradation|PWY-6107|||0.32999998|0.2857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6107
pyruvate fermentation to propanoate I|P108-PWY|pyruvate fermentation to propanoate|Pyruvate-Propanoate-Fermentation|0.34234977|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P108-PWY
2-methylcitrate cycle I|PWY0-42|2-Methylcitrate Cycle|Methyl-Citrate-Cycle|0.34250468|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-42
[2Fe-2S] iron-sulfur cluster biosynthesis|PWY-7250|||0.35200003|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7250
anhydromuropeptides recycling I|PWY0-1261|Anhydromuropeptides Recycling|Anhydromuropeptides-Recycling|0.35581562|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1261
molybdenum cofactor biosynthesis|PWY-6823|Molybdenum Cofactor Biosynthesis|Molybdenum-Cofactor-Biosynthesis|0.35889986|0.875|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6823
L-valine degradation I|VALDEG-PWY|L-valine Degradation|VALINE-DEG|0.3653154|2.125|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=VALDEG-PWY
ethylmalonyl-CoA pathway|PWY-5741|||0.36595857|1.2727273|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5741
thiamine salvage IV (yeast)|PWY-7356|||0.37417603|0.85714287|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7356
pyrimidine deoxyribonucleotides dephosphorylation|PWY-7206|||0.38750777|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7206
L-tryptophan degradation I (via anthranilate)|TRPCAT-PWY|L-tryptophan Degradation|TRYPTOPHAN-DEG|0.38750777|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=TRPCAT-PWY
pyridoxal 5'-phosphate biosynthesis I|PYRIDOXSYN-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.38977817|1.125|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDOXSYN-PWY
ubiquinol-8 biosynthesis (prokaryotic)|PWY-6708|||0.39031944|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6708
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde|PWY-5651|L-tryptophan Degradation|TRYPTOPHAN-DEG|0.40850466|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5651
pyrimidine deoxyribonucleosides degradation|PWY-7181|||0.4343796|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7181
pyrimidine deoxyribonucleosides salvage|PWY-7199|||0.43662778|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7199
3-oxoadipate degradation|PWY-2361|||0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2361
hypotaurine degradation|PWY-7387|||0.44000003|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7387
glutaminyl-tRNAgln biosynthesis via transamidation|PWY-5921|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5921
nylon-6 oligomer degradation|P621-PWY|||0.44000003|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P621-PWY
NADH repair|PWY-6938|||0.44000003|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6938
(Kdo)2-lipid A biosynthesis I|KDO-LIPASYN-PWY|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=KDO-LIPASYN-PWY
thiamine diphosphate biosynthesis I (E. coli)|PWY-6894|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6894
menaquinol-7 biosynthesis|PWY-5839|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5839
L-homocysteine biosynthesis|PWY-5344|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5344
thioredoxin pathway|THIOREDOX-PWY|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=THIOREDOX-PWY
pseudouridine degradation|PWY-6019|||0.44000003|2.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6019
3-dehydroquinate biosynthesis I|PWY-6164|3-Dehydroquinate Biosynthesis|3-Dehydroquinate-Biosynthesis|0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6164
lipoprotein posttranslational modification|PWY-7884|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7884
bis(guanylyl molybdenum cofactor) biosynthesis|PWY-7639|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7639
gluconeogenesis I|GLUCONEO-PWY|Gluconeogenesis|Gluconeogenesis|0.44241837|0.9230769|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONEO-PWY
partial TCA cycle (obligate autotrophs)|PWY-5913|TCA cycle|TCA-VARIANTS|0.4450864|2.909091|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5913
methylerythritol phosphate pathway II|PWY-7560|Isopentenyl Diphosphate Biosynthesis|Isopentenyl-Diphosphate-Biosynthesis|0.45160225|1.1111112|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7560
CMP-3-deoxy-D-manno-octulosonate biosynthesis|PWY-1269|CMP-3-deoxy-D-manno-octulosonate Biosynthesis|CMP-KDO-Biosynthesis|0.45906946|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1269
octane oxidation|P221-PWY|||0.46199998|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P221-PWY
L-alanine biosynthesis III|PWY0-1021|L-alanine Biosynthesis|ALANINE-SYN|0.46239787|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1021
acetate formation from acetyl-CoA I|PWY0-1312|Fermentation to Acetate|Acetate-Formation|0.4643677|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1312
glycine biosynthesis I|GLYSYN-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.4663375|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-PWY
geranyl diphosphate biosynthesis|PWY-5122|||0.4663375|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5122
4-hydroxyphenylpyruvate biosynthesis|PWY-5886|||0.47150373|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5886
geranylgeranyl diphosphate biosynthesis|PWY-5120|||0.4784876|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5120
L-aspartate degradation I|ASPARTATE-DEG1-PWY|L-aspartate Degradation|ASPARTATE-DEG|0.4784876|17.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATE-DEG1-PWY
L-aspartate biosynthesis|ASPARTATESYN-PWY|L-aspartate Biosynthesis|ASPARTATE-SYN|0.4784876|17.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATESYN-PWY
L-glutamine degradation I|GLUTAMINDEG-PWY|L-glutamine Degradation|GLUTAMINE-DEG|0.4784876|8.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINDEG-PWY
L-leucine degradation I|LEU-DEG2-PWY|L-leucine Degradation|LEUCINE-DEG|0.4857475|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=LEU-DEG2-PWY
L-lysine degradation I|PWY0-461|L-lysine Degradation|LYSINE-DEG|0.48829558|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-461
formate assimilation into 5,10-methylenetetrahydrofolate|PWY-1722|||0.49340126|2.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1722
pentose phosphate pathway (non-oxidative branch)|NONOXIPENT-PWY|Pentose Phosphate Pathways|Pentose-Phosphate-Cycle|0.49957672|1.6|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=NONOXIPENT-PWY
acetate conversion to acetyl-CoA|PWY0-1313|||0.5027649|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1313
L-glutamine biosynthesis I|GLNSYN-PWY|Ammonia Assimilation|Ammonia-Assimilation|0.5027649|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLNSYN-PWY
inosine-5'-phosphate biosynthesis II|PWY-6124|Inosine-5'-phosphate Biosynthesis|IMP-Biosynthesis|0.5125499|1.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6124
S-adenosyl-L-methionine biosynthesis|SAM-PWY|||0.5255707|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SAM-PWY
L-glutamate degradation I|GLUTAMATE-DEG1-PWY|L-glutamate Degradation|GLUTAMATE-DEG|0.5255707|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-DEG1-PWY
L-malate degradation II|PWY-7686|(S)-Malate Degradation|L-Malate-Degradation|0.5255707|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7686
L-glutamate biosynthesis III|GLUTSYNIII-PWY|L-glutamate Biosynthesis|GLUTAMATE-SYN|0.5255707|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTSYNIII-PWY
adenine and adenosine salvage I|P121-PWY|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|0.5255707|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=P121-PWY
L-proline biosynthesis I|PROSYN-PWY|L-proline Biosynthesis|PROLINE-SYN|0.5255707|1.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PROSYN-PWY
propanoyl CoA degradation I|PROPIONMET-PWY|||0.5311274|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PROPIONMET-PWY
guanosine nucleotides degradation III|PWY-6608|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.56008863|2.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6608
thiamine salvage III|PWY-6898|||0.5650466|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6898
L-serine degradation|SERDEG-PWY|||0.5650466|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SERDEG-PWY
formate oxidation to CO2|PWY-1881|||0.5650466|5.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1881
long-chain fatty acid activation|PWY-5143|||0.5650466|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5143
nitrate reduction I (denitrification)|DENITRIFICATION-PWY|Nitrate Reduction|Nitrate-Reduction|0.5686277|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=DENITRIFICATION-PWY
4-aminobutanoate degradation I|PWY-6535|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.57334435|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6535
trans, trans-farnesyl diphosphate biosynthesis|PWY-5123|All-Trans-Farnesyl-PP-Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis|0.5766239|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5123
hydroxymethylpyrimidine salvage|PWY-6910|||0.58474725|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6910
glutaryl-CoA degradation|PWY-5177|||0.5863896|2.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5177
2'-deoxy-alpha-D-ribose 1-phosphate degradation|PWY-7180|||0.5866667|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7180
L-idonate degradation|IDNCAT-PWY|||0.5866667|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=IDNCAT-PWY
L-isoleucine biosynthesis I (from threonine)|ILEUSYN-PWY|L-isoleucine Biosynthesis|ISOLEUCINE-SYN|0.6059426|2.142857|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUSYN-PWY
tRNA processing|PWY0-1479|||0.61600006|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1479
urea cycle|PWY-4984|||0.6216959|1.4|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4984
aerobic respiration I (cytochrome c)|PWY-3781|||0.6239328|8.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3781
UDP-N-acetyl-D-glucosamine biosynthesis I|UDPNAGSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|0.6296033|1.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNAGSYN-PWY
purine ribonucleosides degradation|PWY0-1296|||0.63163155|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1296
benzoate degradation II (aerobic and anaerobic)|PWY-283|Benzoate Degradation|Benzoate-Degradation|0.64392376|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-283
L-glutamate biosynthesis II|GLUTAMATE-SYN2-PWY|L-glutamate Biosynthesis|GLUTAMATE-SYN|0.64392376|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-SYN2-PWY
L-glutamate degradation X|PWY-5766|L-glutamate Degradation|GLUTAMATE-DEG|0.64392376|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5766
inosine 5'-phosphate degradation|PWY-5695|||0.6501157|2.75|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5695
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|||0.65630764|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
queuosine biosynthesis|PWY-6700|||0.66|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6700
