#
#  rpom246200cyc 24.0 Reactions link table generated on Mon Apr 20, 2020
#
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
ISOCHORMAT-RXN	EC-3.3.2.1
RXN-9787	EC-2.8.1.7
RXN0-1321	EC-2.4.2.29
RXN-17874	EC-3.4.11.18
RXN0-5330	EC-1.6.5.9
GPH-RXN	EC-3.1.3.18
GST-RXN	EC-2.5.1.18
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
3.4.13.21-RXN	EC-3.4.13.21
GLURS-RXN	EC-6.1.1.17
RXN0-5114	EC-3.1.3.3
2KETO-3METHYLVALERATE-RXN	EC-1.2.1
RXN0-7139	
RXN0-884	EC-1.17.7.4
RXN-17608	EC-3.5.1.4
RXN-7101	
NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
GMP-SYN-NH3-RXN	
TRANS-RXN1G48-27	
RXN-17017	EC-2.3.1.15
ALLOPHANATE-HYDROLASE-RXN	EC-3.5.1.54
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
RXN-9361	EC-2.1.1.163
RXN-9524	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-14107	EC-1.10.2.2
RXN-34	EC-3.5.3.1
4.2.2.7-RXN	EC-4.2.2.7
1.3.99.15-RXN	EC-1.3.7.8
RXN-12849	
RXN-14908	EC-3.13.1
RXN66-569	EC-1.14.16.1
RXN0-5189	EC-3.2.2.20
RXN-14197	EC-3.5.4.1
RXN-12721	EC-1.8.4.9
RXN-16118	EC-2.3.1.51
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EC-2.1.1.222
KDO-8PSYNTH-RXN	EC-2.5.1.55
RXN-9544	EC-1.1.1
RXN0-6512	EC-2.3.1.223
SARCOSINE-DEHYDROGENASE-RXN	EC-1.5.8.3
RXN-7911	EC-1.3.1.34
RXN-9237	EC-2.1.1.64
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-10654	EC-2.3.1.179	EC-2.3.1.41
RXN-18428	
RXN0-5305	
RXN-18206	
R309-RXN	EC-3.5.5.7
RXN-15041	EC-3.1.1.96
RXN0-5244	
RXN-10657	EC-1.3.1.9
TRANS-RXN1G48-13	
RXN1G48-12	
TRANSALDOL-RXN	EC-2.2.1.2
RXN1G-287	EC-1.1.1
RXN-14196	EC-2.7.2
RXN-12691	EC-1.14.13.142
RXN-14728	EC-3.5.1.4
RXN-17846	EC-2.3.2.6
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN-14064	EC-3.1.4.16
PHOSGLYPHOS-RXN	EC-2.7.2.3
RXN-14970	EC-1.3.5.4
RXN-14048	
RXN-18448	EC-6.2.1.1
RXN-11845	EC-2.1.1.166
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
GDPPYPHOSKIN-RXN	EC-2.7.6.5
TRANS-RXN1G48-6	
RXN-9205	EC-2.1.1.163
RXN-16955	EC-1.2.1.7
RXN-10698	EC-1.1.1.35
DNA-LIGASE-NAD+-RXN	EC-6.5.1.6	EC-6.5.1.2
4.3.1.17-RXN	EC-4.3.1.17
RXN0-742	EC-6.3.4.18
4.3.1.15-RXN	EC-4.3.1.15
RXN-8783	EC-3.1.1.17
RXN0-5257	
RXN-10781	EC-1.1.1.1
DUDPKIN-RXN	EC-2.7.4.6
RXN-5424	EC-1.1.1.1
TRANS-RXN0-237	
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.30
RXN-14389	
RXN-8348	EC-2.10.1.1
RXN-10919	EC-6.2.1.12
RXN-10059	EC-2.3.1.41
1.5.1.15-RXN	EC-1.5.1.15
3.1.11.6-RXN	EC-3.1.11.6
3.3.2.5-RXN	EC-3.3.2.2
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
NADH-DEHYDROG-A-RXN	EC-1.6.5.3
RXN-18205	
RXN-13179	EC-1.1.1.262
GLUTAMINESYN-RXN	EC-6.3.1.2
2PGADEHYDRAT-RXN	EC-4.2.1.11
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
TRANS-RXN-141	
RXN-11347	EC-2.7.8.13
RXN-12588	EC-2.8.1.7
RXN-13061	EC-1.10.3
RXN-15139	
RXN-12735	EC-4.1.3.43
RXN0-385	EC-3.6.1.9
THYM-PHOSPH-RXN	EC-2.4.2.2	EC-2.4.2.4
ASPARTATEKIN-RXN	EC-2.7.2.4
RXN-16415	EC-6.2.1.3
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
LINOLENOYL-RXN	EC-6.2.1.3
RXN-7835	EC-1.3.1.34
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
3.1.31.1-RXN	EC-3.1.31.1
GART-RXN	EC-2.1.2.2
TRANS-RXN0-277	EC-1.6.1.5
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
RXN-9191	EC-2.1.1.163
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
RXN-9951	
ISOCHORSYN-RXN	EC-5.4.4.2
R222-RXN	EC-1.2.1.3
RXN-14264	EC-1.3.8.4
RXN1G48-25	
RXN-17012	EC-2.3.1.51
RXN-17954	EC-2.7.8.37
RXN0-949	EC-2.8.1.8
RXN0-262	EC-2.7.7.77
RXN-13697	EC-2.6.1.1
RXN-10022	EC-2.3.1.184
RXN-11211	EC-3.5.2.2
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
TRANS-RXN1G48-16	
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
RXN-10828	EC-2.7.8.23
RXN-16011	
RXN-14262	EC-1.3.8.7
RXN-9556	EC-1.1.1.100
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-13579	
DHBDEHYD-RXN	EC-1.3.1.28
1.8.4.8-RXN	EC-1.8.4.8
FORMIMINOGLUTAMATE-DEIMINASE-RXN	EC-3.5.3.13
RXN-14776	EC-1.3.1.34
RXN-14480	
RXN-11065	EC-3.4.16.4
RXN-9527	EC-2.3.1.179	EC-2.3.1.41
3.4.21.53-RXN	EC-3.4.21.53
GUANYL-KIN-RXN	EC-2.7.4.8
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
RXN-16129	EC-1.1.1.330
RXN-10462	EC-2.3.1.15
ARYLSULFATE-SULFOTRANSFERASE-RXN	EC-2.8.2.22
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EC-1.14.13
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
RXN-17958	EC-3.6.1.63
RXN-15745	EC-1.1.5.3
RXN-16630	EC-1.1.1.100
CREATININASE-RXN	EC-3.5.2.10
RXN0-3601	EC-2.8.3.21
GLYRIBONUCSYN-RXN	EC-6.3.4.13
RXN0-722	EC-1.17.4.1
RXN-12714	EC-1.3.99.4
F16ALDOLASE-RXN	EC-4.1.2.13
METHGLYSYN-RXN	EC-4.2.3.3
RXN-15509	
RXN-12706	EC-2.3.1.176
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
ADOMET-DMK-METHYLTRANSFER-RXN	EC-2.1.1.163
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
RXN-12789	EC-1.1.1.145
RXN1G-320	EC-4.2.1.59
RXN-17796	EC-1.3.8
2.1.1.17-RXN	EC-2.1.1.17
2.6.1.22-RXN	EC-2.6.1.22
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
UROCANATE-HYDRATASE-RXN	EC-4.2.1.49
RXN-15733	EC-2.7.6.3
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	EC-5.4.99.12
TRANS-RXN1G48-8	
RXN-11638	EC-2.1.1.199
RXN0-2381	EC-4.1.2.8
RXN-14124	EC-3.1.3.6
IMIDAZOLONEPROPIONASE-RXN	EC-3.5.2.7
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-11743	EC-2.4.2.1
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-16804	
RXN-15035	EC-3.1.1.5
RXN-15084	EC-2.7.1.202
PURINE-NUCLEOSIDASE-RXN	EC-3.2.2.1
RXN-15890	
RXN-15889	EC-2.7.8.7
DADPKIN-RXN	EC-2.7.4.6
2.3.1.154-RXN	EC-2.3.1.176
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
ANTHRANILOYL-COA-MONOOXYGENASE-RXN	EC-1.14.13.40
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
RXN-12104	EC-1.17.99.6
RXN-10016	
XMPXAN-RXN	EC-3.1.3.5
RXN0-7080	
RXN-14131	EC-1.3.8.8
RXN-12748	EC-1.3.99
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RXN-9650	EC-2.3.1.86
2.6.1.57-RXN	EC-2.6.1.57
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
3.1.27.1-RXN	EC-3.1.27.1
AKBLIG-RXN	EC-2.3.1.29
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	EC-2.4.2.28
RXN1G48-10	
RXN1G-4355	EC-6.4.1.3
RXN-14140	EC-3.6.1.9
RXN-17881	
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
RXN-16616	EC-1.1.1.100
RXN-9659	EC-1.3.1.9
RXN-12626	EC-3.2.1.52
ADENYL-KIN-RXN	EC-2.7.4.3
GDPREDUCT-RXN	EC-1.17.4.1
CARNDETRU-RXN	EC-4.2.1.149
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-16391	EC-5.1.99.1
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
RXN-17956	EC-4.7.1.1
5-NUCLEOTID-RXN	EC-3.1.3.5
RXN0-5393	EC-4.2.1.17
RXN-16947	EC-1.13.11.4
RXN1G-508	EC-1.1.1.100
HISTOLDEHYD-RXN	
DCYSDESULF-RXN	EC-4.4.1.15
PEPCARBOX-RXN	EC-4.1.1.31
RXN-14957	EC-2.8.1.8
RXN-17793	EC-4.2.1.17
RXN-8001	EC-1.1.1.23
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21
RXN-10060	EC-1.1.1.100
RXN0-4621	EC-2.7.1.170
RXN-16424	
RXN0-363	EC-3.2.2.1
RXN-5841	EC-3.1.3.5
RXN-10078	EC-1.14.13.1
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-17650	EC-6.2.1.42
RXN0-7008	EC-1.5.5.2
2.1.1.79-RXN	EC-2.1.1.79
RXN-14266	EC-4.2.1.17
NADH-DEHYDROGENASE-RXN	EC-1.6.99.3
MALEYLACETOACETATE-ISOMERASE-RXN	EC-5.2.1.2
RXN-12572	EC-1.3.8
RXN0-5402	
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
RXN-8315	
RXN-10711	EC-3.1.1.1
NITRITE-REDUCTASE-CYTOCHROME-RXN	EC-1.7.2.1
XYLULOKIN-RXN	EC-2.7.1.17
RXN-16318	
RXN-11511	EC-1.14.12.22
CITRAMALATE-LYASE-RXN	EC-4.1.3.22
RXN-15138	EC-3.8.1.2
ACETOLACTSYN-RXN	EC-2.2.1.6
3.3.2.2-RXN	EC-3.3.2.2
GLUTARYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.6
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
RXN0-4222	EC-3.1.13.1
RXN0-383	EC-3.6.1.9	EC-3.6.1.65
2.1.1.64-RXN	EC-2.1.1.64
PHOSMANMUT-RXN	EC-5.4.2.8
RXNQT-4191	EC-3.1.3.100
2-NITROPROPANE-DIOXYGENASE-RXN	EC-1.13.12.16
RXN-17752	
RXN-15005	EC-2.7.2.8
RXN-16997	
RXN-12571	EC-6.2.1.44
RXN-16418	EC-6.2.1.3
KYNURENINE-3-MONOOXYGENASE-RXN	EC-1.14.13.9
1.5.1.7-RXN	EC-1.5.1.7
PGLUCISOM-RXN	EC-5.3.1.9
PHOSPHASERDECARB-RXN	EC-4.1.1.65
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
DHBAMPLIG-RXN	EC-2.7.7.58
3.2.1.14-RXN	EC-3.2.1.14
DISULFOXRED-RXN	
RXN-14228	EC-2.7.4.6
RXN-16013	
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
1.1.1.8-RXN	EC-1.1.1.8
THIOREDOXIN-RXN	
RXNQT-4168	EC-1.1.1.85
MYRISTOYLACYLTRAN-RXN	EC-2.3.1.243
TRANS-RXN-125	
RXN1G48-7	
RXN-9623	EC-6.2.1.3
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
RXN-17785	EC-4.2.1.17
RXN-3641	EC-2.3.1.174
RXN-8638	EC-3.6.3.32
RXN0-5227	EC-3.4.17.13
RXN-15838	EC-1.7.2.1
TSA-REDUCT-RXN	EC-1.1.1.60
PRODISULFREDUCT-A-RXN	EC-1.8.4
DGDPKIN-RXN	EC-2.7.4.6
RXN-14192	EC-2.7.1.40
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
RXN-17889	EC-2.3.2.8
RXN0-300	EC-1.1.1
RXN-15152	EC-2.7.1.202
2.3.1.128-RXN	EC-2.3.1
6PFRUCTPHOS-RXN	EC-2.7.1.11
ASPAMINOTRANS-RXN	EC-2.6.1.1
RXN0-6480	EC-3.1.26.5
RXN0-6359	EC-2.8.1.1
UGD-RXN	EC-1.1.1.22
RXN0-5398	EC-4.2.1.70
RXN-18031	
6.2.1.34-RXN	EC-6.2.1.34
CYCPHOSDIESTER-RXN	EC-3.1.4.16
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN1G48-20	
DIHYDROOROTATE-DEHYDROGENASE-RXN	EC-1.3.5.2
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
RXN-902	EC-4.2.1.17
HEMEOSYN-RXN	EC-2.5.1.br
RXN-12708	EC-4.2.1
RXN-12093	EC-6.3.4.20
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	EC-1.14.13
1.1.1.262-RXN	
RXN-2425	EC-4.2.1.17
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
PDXJ-RXN	EC-2.6.99.2
RXN1G48-11	
RXN-17018	EC-2.3.1.15
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
RXN-17648	
R311-RXN	EC-3.5.1.4
3.1.3.16-RXN	EC-3.1.3.16
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.28
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
HAONITRO-RXN	EC-1.7.2.6
RXN-14272	EC-4.2.1.17
RXN-12715	
KANAMYCIN-KINASE-RXN	EC-2.7.1.95
3.4.21.88-RXN	EC-3.4.21.88
RXN-14278	EC-1.3.8.7
RXN66-474	EC-6.2.1
