Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Reactions of gene
EG10750	b1125	1183617	1184444	POTB-MONOMER	ABC-24-RXN // ABC-25-RXN
EG11869	b3909	4101690	4102673	KDGT-MONOMER	TRANS-RXN-113
EG12154	b1353	1418671	1419159	EG12154-MONOMER	
G7834	b4144	4372809	4373162	G7834-MONOMER	
G0-9610	b4428	1491922	1492071	MONOMER0-1604	
G7405	b2682	2809617	2810354	G7405-MONOMER	TRANS-RXN0-269
EG10593	b2150	2239350	2240348	MGLB-MONOMER	ABC-18-RXN // TRANS-RXN0-541
EG11171	b3064	3209530	3210543	EG11171-MONOMER	RXN-14570
EG12705	b2958	3100904	3101623	EG12705-MONOMER	
EG11603	b3054	3199664	3200965	EG11603-MONOMER	TRIPHOSPHATASE-RXN
EG12189	b2436	2553225	2554124	COPROGENOXI-MONOMER	RXN0-1461
G6307	b0551	573956	574339	G6307-MONOMER	
G6097	b0189	213678	213932	G6097-MONOMER	
G0-10536		1049833	1050530	MONOMER0-2756	
EG10682	b3360	3490266	3490829	PABASYN-COMPII-MONOMER	PABASYN-RXN // GLUTAMIN-RXN // RXN-22713
EG10041	b0110	118733	119284	EG10041-MONOMER	RXN0-5225
G6652	b1314	1376034	1376822	G6652-MONOMER	RXN-20681
EG10196	b0526	554611	555996	CYSS-MONOMER	CYSTEINE--TRNA-LIGASE-RXN // RXN-11115 // RXN-23895
EG10231	b2133	2222185	2223900	DLACTDEHYDROGFAD-MONOMER	DLACTDEHYDROGFAD-RXN
EG11286	b3957	4153696	4154847	ACETYLORNDEACET-MONOMER	ACETYLORNDEACET-RXN
EG10304	b0151	169778	170575	FHUC-MONOMER	ABC-11-RXN // TRANS-RXN-297 // TRANS-RXN-298
M014	b0351	372921	373871	MHPF-MONOMER	ACETALD-DEHYDROG-RXN
EG12630	b3438	3577731	3578726	PD03585	
G7131	b2099	2180095	2181099	G7131-MONOMER	
EG10866	b3320	3452297	3452926	EG10866-MONOMER	
EG11888	b3606	3781215	3781688	EG11888-MONOMER	RXN-11860 // RXN-11865 // RXN0-7168
G7052	b4496	2034051	2035243	G7052-MONOMER	
EG12366	b2946	3091134	3091865	EG12366-MONOMER	RXN-11598
EG11686	b3657	3834547	3835929	YICJ-MONOMER	
G6139	b0265	279600	279875	G6139-MONOMER	
EG10842	b3906	4098646	4099494	PD00222	
EG11428	b3962	4159390	4160790	UDHA-MONOMER	RXN0-7427 // PYRNUTRANSHYDROGEN-RXN // RXN-10745
EG12379	b1868	1951395	1952213	EG12379-MONOMER	
EG11467	b3820	4004230	4004697	EG11467-MONOMER	RXN-9628 // PALMITOYL-COA-HYDROLASE-RXN // RXN-14251 // RXN-14255 // ACYL-COA-HYDROLASE-RXN
G0-8887	b4598	1517099	1517194	MONOMER0-761	
G7279	b2449	2563980	2564372	G7279-MONOMER	
EG10728	b0399	417142	417831	PHOSPHO-PHOB // PHOB-MONOMER	
EG31116	b4458	4158278	4158394	OXYS-RNA	
G7444	b2778	2905711	2906583	G7444-MONOMER	
EG12012	b2131	2218564	2219481	YEHZ-MONOMER	TRANS-RXN-283
G7038	b1919	1998494	1999480	DCYSDESULF-MONOMER	DCYSDESULF-RXN // RXN-19381 // ALADEHYDCHLORO-RXN
EG11379	b0979	1039296	1040432	APPB-MONOMER	RXN0-5266
EG11691	b3664	3842455	3843789	EG11691-MONOMER	TRANS-RXN0-577
EG11452	b3787	3971260	3972522	UDPMANNACADEHYDROG-MONOMER	UDPMANNACADEHYDROG-RXN
EG10096	b0928	984519	985709	ASPAMINOTRANS-MONOMER	ASPAMINOTRANS-RXN // RXN-10814 // TYROSINE-AMINOTRANSFERASE-RXN // RXN-21858 // 2.6.1.7-RXN // CYSTEINE-AMINOTRANSFERASE-RXN
G7103	b2058	2132067	2132555	G7103-MONOMER	RXN0-7345
G7517	b2920	3064802	3066280	G7517-MONOMER	RXN0-268
G7503	b4464	3027121	3028488	G7504-MONOMER	TRANS-RXN0-562 // TRANS-RXN0-578
EG12232	b3496	3640862	3642331	YHIP-MONOMER	TRANS-RXN0-267 // TRANS-RXN0-288
EG12411	b2040	2111077	2111976	DTDPDEHYRHAMREDUCT-MONOMER	DTDPDEHYRHAMREDUCT-RXN
G0-17119	b4839	1978176	1978395	RNA0-435	
EG20110	b3350	3478802	3480607	KEFB-MONOMER	TRANS-RXN-42
EG11263	b3322	3453508	3453927	EG11263-MONOMER	
G6898	b1670	1749563	1750348	G6898-MONOMER	
G7599	b3080	3228888	3231239	G7599-MONOMER	RXN0-5395
G7419	b2738	2863593	2864231	G7419-MONOMER	
EG11450	b3764	3948086	3948424	EG11450-MONOMER	
EG12131	b2527	2658952	2659467	EG12131-MONOMER	RXN-25091
G0-17104	b4829	3845730	3845995	RNA0-422	
G7440	b2774	2899488	2900273	G7440-MONOMER	
G0-10461	b4545	2476094	2476234	MONOMER0-2683	
G7656	b3183	3330582	3331754	G7656-MONOMER	RXN0-5462
G6847	b1589	1662990	1663607	G6847-MONOMER	RXN-24479
EG11430	b1128	1187119	1188240	EG11430-MONOMER	RXN0-7090
EG12381	b2676	2803502	2804461	NRDF-MONOMER	RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-748 // RXN0-747 // RXN0-722 // CDPREDUCT-RXN // RIBONUCLEOSIDE-DIP-REDUCTI-RXN
EG10118	b0775	809344	810384	BIOTIN-SYN-MONOMER	RXN-25310
EG11103	b0535	563848	564480	EG11103-MONOMER	
EG13235	b0731	765984	767960	HRSA-MONOMER	RXN0-2522
G7059	b1971	2039478	2040482	G7059-MONOMER	RXN-17663 // RXN-17652
G0-17009	b4764	765050	765150	RNA0-403	
EG11122	b1254	1312351	1312890	EG11122-MONOMER	
G6894	b1664	1744871	1746127	G6894-MONOMER	
EG10917	b4202	4425839	4426066	EG10917-MONOMER	
G6404	b0787	820793	821506	G6404-MONOMER	
G0-16673	b4672	1346796	1346900	MONOMER0-4368	
G7293	b2463	2576098	2578377	MALIC-NADP-MONOMER	MALIC-NADP-RXN // MALATE-DEHYDROGENASE-NADP+-RXN // OXALODECARB-RXN // RXN-16819
EG12060	b2202	2297657	2298259	NAPC-MONOMER	RXN-25590
EG11294	b1208	1262026	1262877	EG11294-MONOMER	2.7.1.148-RXN
G6386	b0717	748979	749707	G6386-MONOMER	
EG11331	b1277	1338570	1339160	GTP-CYCLOHYDRO-II-MONOMER	GTP-CYCLOHYDRO-II-RXN
EG11825	b1464	1534965	1535858	EG11825-MONOMER	
EG11977	b1950	2022893	2023678	EG11977-MONOMER	
EG11650	b0209	231122	231922	EG11650-MONOMER	
G0-16713	b4632	529497	529592	G0-16713-MONOMER	
EG10786	b2821	2955996	2958884	EG10786-MONOMER	3.4.24.55-RXN
EG11989	b2110	2190926	2191645	EG11989-MONOMER	
G7734	b3382	3511060	3511422	G7734-MONOMER	
G6636	b1268	1324746	1326641	G6636-MONOMER	
EG10824	b2820	2952461	2956003	EG10824-MONOMER	RXN-19004 // RXN0-2605 // RXN-11135
G0-16741	b4747	1579545	1579667	MONOMER0-4424	
EG12688	b1064	1123407	1124054	OX-GLUTAREDOXIN-B // GRXB-MONOMER	PRODISULFREDUCT-RXN // RXN0-7271
G6900	b1672	1751077	1751724	G6900-MONOMER	
EG11769	b0498	527581	527949	EG11769-MONOMER	
G0-10700		2278258	2278498		
G6520	b1009	1070965	1071765	G6520-MONOMER	RXN0-5222
G6289	b0520	549627	550442	G6289-MONOMER	OXAMATE-CARBAMOYLTRANSFERASE-RXN
G6258	b0482	507286	508080	G6258-MONOMER	
G0-17101	b4826	1140986	1141063	RNA0-419	
G7442	b2776	2901896	2903374	G7442-MONOMER	
G7553	b2989	3138727	3139593	G7553-MONOMER	RXN0-6256
EG12087	b2283	2397439	2400165	NUOG-MONOMER	NADH-DEHYDROG-A-RXN // RXN0-5388
EG11374	b0142	157253	157732	H2PTERIDINEPYROPHOSPHOKIN-MONOMER	H2PTERIDINEPYROPHOSPHOKIN-RXN
EG10798	b2499	2621197	2622234	AIRS-MONOMER	AIRS-RXN
EG11577	b0073	80867	81958	3-ISOPROPYLMALDEHYDROG-MONOMER	RXN-13158 // 3-ISOPROPYLMALDEHYDROG-RXN
G436	b3224	3371084	3372574	NANT-MONOMER	RXN-15314
G6810	b1524	1612325	1613251	G6810-MONOMER	GLUTAMIN-RXN
EG10059	b4460	1982554	1983540	ARAH-MONOMER	ABC-2-RXN
EG12011	b2130	2217400	2218557	YEHY-MONOMER	TRANS-RXN-283
G0-8914	b4452	3664864	3664969	IS183-RNA	
G7003	b1827	1909308	1910099	G7003-MONOMER	
EG12374	b3362	3491453	3491620	EG12374-MONOMER	
EG10127	b1711	1794172	1795152	BTUC-MONOMER	ABC-5-RXN // TRANS-RXN-296
EG10684	b0741	779067	779588	EG10684-MONOMER	
EG11325	b1276	1335831	1338506	ACONITASE-MONOMER	ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN
EG11812	b4186	4413028	4414191	EG11812-MONOMER	RXN-24020
G7934	b4584	4568998	4569918	G7934-MONOMER	
EG10563	b1621	1699355	1700947	MALX-MONOMER	TRANS-RXN0-575 // TRANS-RXN0-574
G6472	b0917	970673	970855	G6472-MONOMER	
EG12251	b3524	3676290	3678350	EG12251-MONOMER	
EG10804	b1676	1755698	1757110	PKI-MONOMER	PEPDEPHOS-RXN
EG10492	b0026	22391	25207	ILES-MONOMER	RXN-23944 // RXN-22838 // RXN-23943 // RXN-23945 // RXN-23924 // RXN-23922 // RXN-23923 // ISOLEUCINE--TRNA-LIGASE-RXN // RXN-23889 // RXN-23909
G6871	b1627	1705767	1706348	G6871-MONOMER	RXN0-7453
G0-9384		1888017	1888102		
EG10514	b0697	724988	727036	KDPB-MONOMER	TRANS-RXN-2
EG10613	b0914	966621	968369	EG10613-MONOMER	TRANS-RXN-236 // TRANS-RXN-498
EG11992	b2115	2196474	2197298	EG11992-MONOMER	
EG11620	b1286	1346978	1348912	EG11620-MONOMER	RXN0-6524 // 3.1.13.1-RXN // RXN-24139 // RXN0-7463 // RXN0-7477 // RXN0-7482
G6588	b1144	1201776	1202084	G6588-MONOMER	
EG10022	b4015	4217109	4218413	ISOCIT-LYASE-MONOMER	ISOCIT-CLEAV-RXN
G7200	b2325	2443891	2444169	G7200-MONOMER	
EG12258	b3531	3689155	3690261	EG12258-MONOMER	RXN-2043
EG10346	b3464	3602750	3604243	EG10346-MONOMER	
EG10676	b1245	1303834	1304742	OPPC-MONOMER	ABC-8-RXN // 3.6.3.23-RXN // RXN0-11 // TRANS-RXN0-268
G7531	b2955	3097267	3098403	G7531-MONOMER	
EG10625	b2733	2857093	2859654	EG10625-MONOMER	
G7006	b1833	1916258	1917541	G7006-MONOMER	
EG11579	b0798	832468	832950	EG11579-MONOMER	RXN-19407
EG11677	b0760	792316	793788	MODF-MONOMER	
EG10318	b0684	710935	711465	OX-FLAVODOXIN1 // FLAVODOXIN1-MONOMER	
EG12117	b0814	850450	850965	EG12117-MONOMER	
EG10434	b3802	3986686	3987882	EG10434-MONOMER	
G0-16670	b4654	4362191	4362353		
EG11764	b3597	3770243	3771379	EG11764-MONOMER	
G0-8911		2835055	2835167		
G6583	b1138	1197533	1198237	G6583-MONOMER	
G6776	b1481	1556065	1556280	G6776-MONOMER	
G7918	b4308	4535015	4536031	G7918-MONOMER	
EG10188	b3368	3497828	3499201	SIROHEMESYN-MONOMER	RXN-13403 // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // DIMETHUROPORDEHYDROG-RXN // SIROHEME-FERROCHELAT-RXN
EG10799	b2500	2622234	2622872	GART-MONOMER	GART-RXN
G7159	b2246	2358863	2360152	B2246-MONOMER	
G7080	b2000	2071539	2074658	G7080-MONOMER	
G0-16600	b4714	1413556	1413734	RNA0-385	
G0-17045	b4799	4001218	4001274	MONOMER0-4513	
EG12097	b2593	2734303	2735034	EG12097-MONOMER	ADENPHOSPHOR-RXN // 5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN // INOPHOSPHOR-RXN // ADENODEAMIN-RXN // RXN-16312
EG10823	b2699	2822708	2823769	EG10823-MONOMER	
G6835	b1568	1647346	1647636	G6835-MONOMER	
G6354	b0647	678852	679406	G6354-MONOMER	
G6702	b1379	1441321	1441743	G6702-MONOMER	
EG11673	b3058	3204221	3204589	H2NEOPTERINALDOL-MONOMER	H2NEOPTERINALDOL-RXN // RXN-10856
G7267	b2432	2550641	2551216	G7267-MONOMER	
EG11915	b3998	4198790	4199461	EG11915-MONOMER	RXN-21350
EG12278	b3574	3741684	3742532	EG12278-MONOMER	
EG11644	b1536	1624105	1624497	EG11644-MONOMER	
EG12271	b3552	3716547	3717206	EG12271-MONOMER	
EG11346	b1937	2012700	2013014	EG11346-MONOMER	
EG12013	b2132	2219692	2221989	EG12013-MONOMER	RXN-24169 // RXN-24170 // RXN-14722 // BETAGALACTOSID-RXN
G7863	b4205	4427694	4428095	G7863-MONOMER	
EG12200	b2069	2147674	2149026	EG12200-MONOMER	
EG12877	b1154	1207501	1208130	EG12877-MONOMER	
G6499	b0965	1027946	1028359	G6499-MONOMER	
EG12608	b0035	34781	35371	CAIE-MONOMER	
G6884	b1644	1721264	1722121	G6884-MONOMER	
EG10912	b3298	3442115	3442471	EG10912-MONOMER	
EG12415	b2093	2174282	2174566	GATB-MONOMER	TRANS-RXN-161 // TRANS-RXN-169
EG10936	b0098	108279	110984	SECA	TRANS-RXN0-636 // TRANS-RXN-403
EG10966	b3650	3822400	3824508	SPOT-MONOMER	RXN0-6427 // GDPPYPHOSKIN-RXN // PPGPPSYN-RXN
G7835	b4145	4373365	4374234	G7835-MONOMER	
G6240	b0426	444683	445174	G6240-MONOMER	
G7742	b3399	3528669	3529337	G7742-MONOMER	RXN-7607 // RXN-7609
EG10922	b3974	4174076	4175026	PANTOTHENATE-KIN-MONOMER	PANTOTHENATE-KIN-RXN // PANTETHEINE-KINASE-RXN
EG12385	b2216	2313488	2316160	MONOMER0-4189 // EG12385-MONOMER	
G7202	b2331	2448606	2449157	G7202-MONOMER	
G7072	b1988	2061016	2061933	G7072-MONOMER	
EG12754	b3110	3256679	3258010	YHAO-MONOMER	RXN-23966
EG10558	b4035	4246784	4247899	MALK-MONOMER	RXN0-7495 // ABC-16-RXN // TRANS-RXN0-504 // TRANS-RXN0-503
EG10340	b3463	3602079	3602747	FTSE-MONOMER	
EG10150	b1882	1967048	1967437	MONOMER0-4170 // PHOSPHO-CHEY // CHEY-MONOMER	
G6834	b1567	1647174	1647323	G6834-MONOMER	
EG11976	b1949	2022616	2022885	EG11976-MONOMER	
EG11781	b4070	4287764	4289200	CYTOCHROMEC552-MONOMER	RXN-18605 // RXN0-7493
G7763	b3446	3584759	3585043	G7763-MONOMER	
G7312	b2495	2617578	2617937	G7312-MONOMER	
EG11411	b0167	185978	188650	GLND-MONOMER	RXN0-7378 // RXN0-801 // RXN-16381 // URIDYLREM-RXN
EG30034	b4008	4209774	4209849	gltV-tRNA	
EG11355	b1922	2001070	2001789	EG11355-MONOMER	
G7012	b1839	1923365	1923706	G7012-MONOMER	
EG12517	b4227	4449962	4450918	YTFQ-MONOMER	TRANS-RXN0-492 // TRANS-RXN0-491
EG10212	b1538	1625335	1627380	EG10212-MONOMER	3.4.15.5-RXN
EG11652	b3235	3382200	3383267	EG11652-MONOMER	RXN0-3182
EG10757	b3363	3491725	3492297	EG10757-MONOMER	PEPTIDYLPROLYL-ISOMERASE-RXN
G0-10706		4441225	4441330	RNA0-368	
EG12266	b3539	3700563	3701834	YHJV-MONOMER	
EG12835	b3269	3420134	3421315	YHDX-MONOMER	
G6836	b1578	1650881	1651537	G6836-MONOMER	
EG10649	b1109	1166085	1167389	NADH-DHII-MONOMER	RXN0-5330 // RXN0-7123 // R170-RXN
G7173	b2266	2380722	2381027	G7173-MONOMER	
EG11464	b3817	4002419	4002799	EG11464-MONOMER	
EG10486	b2729	2852136	2853257	EG10486-MONOMER	RXN-22646 // RXN-22647
EG10358	b1611	1685185	1686588	FUMC-MONOMER	FUMHYDR-RXN
EG12142	b2796	2928229	2929518	SDAC-MONOMER	TRANS-RXN-71
G7612	b3098	3249375	3249680	G7612-MONOMER	
EG11104	b0591	622300	623550	YBDA-MONOMER	TRANS-RXN0-496
EG10064	b3959	4156013	4156789	ACETYLGLUTKIN-MONOMER	ACETYLGLUTKIN-RXN
G366	b1081	1137371	1138312	G366-MONOMER	
EG10830	b2892	3036373	3038106	EG10830-MONOMER	3.1.11.6-RXN
G7582	b3042	3184840	3185130	G7582-MONOMER	
G7060	b1972	2040483	2041118	G7060-MONOMER	RXN-17663 // RXN-17652
EG12259	b3532	3690268	3692607	EG12259-MONOMER	CELLULOSE-SYNTHASE-UDP-FORMING-RXN
EG11098	b0422	441101	441343	EG11098-MONOMER	3.1.11.6-RXN // RXN-24399
G7910	b4297	4522127	4524094	G7910-MONOMER	XYLONATE-DEHYDRATASE-RXN
G7031	b1895	1979753	1980181	G7031-MONOMER	
G7199	b2324	2441764	2443770	G7199-MONOMER	RXN0-7081 // RXN0-5144
EG11542	b0494	519139	519765	THIOESTERI-MONOMER	RXN-9555 // RXN-9550 // LYSOPHOSPHOLIPASE-RXN // THIOESTER-RXN
EG11788	b2052	2126225	2127190	FCL-MONOMER	1.1.1.271-RXN // FCLEPIM-RXN // FCLREDUCT-RXN
EG10013	b1856	1940313	1941635	EG10013-MONOMER	RXN0-3461 // RXN0-5407
EG30045	b0202	225381	225457	ileV-tRNA	
EG11165	b3038	3180421	3181581	EG11165-MONOMER	RXN-24020
G6962	b1775	1858850	1860229	B1775-MONOMER	
G7297	b2474	2593844	2595859	G7297-MONOMER	RXN0-5418
G7840	b4159	4386047	4389370	G7840-MONOMER	
G7396	b2666	2796870	2797028	G7396-MONOMER	
G6194	b0329	346484	346759	G6194-MONOMER	
EG11061	b4058	4271049	4273871	EG11061-MONOMER	RXN0-2621 // RXN-24978 // RXN-24977
G0-10465	b4550	3438431	3438649	MONOMER0-2687	
EG30078	b3970	4168641	4171544	RRLB-RRNA	
EG10429	b3805	3989825	3990766	OHMETHYLBILANESYN-MONOMER	OHMETHYLBILANESYN-RXN // RXN-21526 // RXN-21527 // RXN-21523 // RXN-21524 // RXN-21525
EG11445	b2918	3062987	3063982	EG11445-MONOMER	RXN0-5462
EG10762	b2891	3035184	3036282	EG10762-MONOMER	
EG10248	b3544	3706098	3707705	DPPA-MONOMER	ABC-8-RXN
EG12606	b1095	1151939	1153180	3-OXOACYL-ACP-SYNTHII-MONOMER	RXN-10658 // RXN-9527 // RXN-9531 // RXN-9523 // RXN-9516 // RXN-9539 // RXN-9535 // 3-OXOACYL-ACP-SYNTH-RXN // 2.3.1.179-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN // RXN-11479
G0-10569	b4576	4518721	4519224		
G6166	b0295	312112	312339	G6166-MONOMER	
G7798	b3777	3960012	3960460	G7798-MONOMER	
EG11541	b3747	3931316	3933184	KUP-MONOMER	TRANS-RXN-3
G6582	b1137	1196867	1197532	G6582-MONOMER	
G7464	b2844	2984411	2985592	G7464-MONOMER	
EG11218	b4398	4636007	4636696	PHOSPHO-CREB // CREB-MONOMER	
G7014	b1841	1924595	1924969	G7014-MONOMER	
G7751	b3421	3556853	3558079	G7751-MONOMER	RXN-17905 // RXN0-6566 // RXN-17935 // RXN-17936 // RXN-17910
G6611	b1171	1222305	1222634	G6611-MONOMER	
G6294	b0538	565972	566532		
G0-17126	b4845	345252	345434	MONOMER0-4561	
EG11512	b0010	9928	10494	EG11512-MONOMER	TRANS-RXN0-571 // TRANS-RXN-121
EG10600	b4142	4370688	4370981	EG10600-MONOMER	RXN0-1061
EG10927	b0397	412607	415753	EG10927-MONOMER	
EG10403	b3212	3354725	3359185	GLUSYNLARGE-MONOMER	GLUTAMATESYN-RXN // GLUTAMIN-RXN // RXN-20084 // GLUTDEHYD-RXN
EG10881	b1716	1799393	1799749	EG10881-MONOMER	
G7838	b4157	4385393	4385707	G7838-MONOMER	
EG30067	b2189	2286211	2286287	proL-tRNA	
EG11147	b2471	2591247	2591603	EG11147-MONOMER	
EG11370	b4040	4253016	4253888	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
EG11459	b3795	3980887	3982272	YIFK-MONOMER	TRANS-RXN-72 // TRANS-RXN-71
EG30011	b2397	2518156	2518231	alaW-tRNA	
EG11209	b4030	4240325	4240735	EG11209-MONOMER	
EG10283	b4232	4454611	4455609	F16B-MONOMER	F16BDEPHOS-RXN
EG11923	b4026	4235906	4236148	EG11923-MONOMER	
G6563	b1085	1144502	1144822	G6563-MONOMER	
G0-17112	b4434	1987843	1988001	RNA0-430	
G7415	b2734	2859760	2860416	G7415-MONOMER	PROTEIN-TYROSINE-PHOSPHATASE-RXN // 3.1.3.16-RXN
G0-16668	b4652	3769948	3770146		
G372	b4406	213925	214125	MONOMER0-741	
G6541	b1035	1099640	1100194	G6541-MONOMER	
EG11947	b4073	4290476	4291432	NRFD-MONOMER	RXN-18604
G7562	b3007	3151977	3152132		
EG11514	b3214	3361176	3361940	EG11514-MONOMER	
G0-10649	b4676	1878773	1878871	MONOMER0-2876	
G0-9621	b4501	2476310	2476510	MONOMER0-1641	
EG10542	b0439	458888	461242	EG10542-MONOMER	3.4.21.53-RXN
G6230	b0387	405764	406222	G6230-MONOMER	
EG10672	b3405	3535865	3536584	PHOSPHO-OMPR-MONOMER // OMPR-MONOMER	
EG12624	b3555	3719478	3719768	EG12624-MONOMER	
G6723	b1402	1467921	1468826	MONOMER0-4444	
EG11497	b3259	3409070	3409951	EG11497-MONOMER	RXN0-5419
EG11962	b3604	3779054	3779830	EG11962-MONOMER	
EG12158	b0393	409108	410019	EG12158-MONOMER	
G7684	b3239	3385857	3386129	G7684-MONOMER	
G7653	b3159	3302489	3303367	G7653-MONOMER	RXN-24918 // RXN-24716 // RXN-24717 // RXN-24718
EG10421	b2508	2632604	2634070	IMP-DEHYDROG-MONOMER	IMP-DEHYDROG-RXN
G0-9383	b4763	686681	686843	RNA0-124	
EG11557	b0036	35377	36162	CARNRACE-MONOMER	CARNDETRU-RXN
EG10392	b2242	2354265	2355524	ANGLYC3PDEHYDROGSUBUNITB-MONOMER	RXN-15740
EG10072	b2310	2427009	2427791	ARGT-MONOMER	ABC-37-RXN // ABC-4-RXN // ABC-3-RXN
G6918	b1695	1777196	1778347	G6918-MONOMER	
G6164	b0293	310084	310671	G6164-MONOMER	
G7316	b2505	2629792	2630310	G7316-MONOMER	
EG10162	b2048	2121609	2122979	PHOSMANMUT-MONOMER	PHOSMANMUT-RXN
G7445	b2787	2918045	2919385	GLUCARDEHYDRA-MONOMER	GLUCARDEHYDRA-RXN // RXN0-5285
G7108	b2063	2137902	2139485	G7108-MONOMER	
EG10865	b3317	3450543	3451364	EG10865-MONOMER	
G7170	b2257	2370908	2372560	G7170-MONOMER	RXN0-2001
G6241	b0427	445302	446666	B0427-MONOMER	
EG10233	b0895	943414	944031	DMSB-MONOMER	DIMESULFREDUCT-RXN
G0-17048	b4802	4536597	4536695	MONOMER0-4516	
G7424	b2748	2872509	2872820	G7424-MONOMER	
G6682	b1358	1420684	1421106	G6682-MONOMER	
EG11964	b3602	3776665	3777027	EG11964-MONOMER	
G7899	b4277	4501260	4501589	G7899-MONOMER	
EG11422	b2237	2348822	2349472	EG11422-MONOMER	
EG12295	b3611	3784584	3785015	EG12295-MONOMER	
G6651	b1313	1374963	1376015	G6651-MONOMER	RXN-20680
EG11023	b2607	2744572	2745339	EG11023-MONOMER	RXN-12458
EG11054	b3666	3845776	3847167	UHPT-MONOMER	TRANS-RXN-33 // TRANS-RXN0-502 // TRANS-RXN0-501 // TRANS-RXN0-534
G6205	b0352	373868	374881	MHPELY-MONOMER	MHPELY-RXN
EG11800	b2995	3142986	3144164	EG11800-MONOMER	RXN0-7399
G7577	b3027	3171879	3172211	G7577-MONOMER	
G7114	b2075	2155263	2158385	B2075-MONOMER	TRANS-RXN-353 // TRANS-RXN-352 // TRANS-RXN-92
EG11985	b2032	2103391	2104509	EG11985-MONOMER	
EG10967	b3651	3824515	3825204	EG10967-MONOMER	2.1.1.34-RXN
EG10365	b2151	2240628	2241668	PD00261	
EG10963	b0121	135598	136464	SPERMIDINESYN-MONOMER	SPERMIDINESYN-RXN // RXN0-5217
EG11401	b0384	403281	403601	EG11401-MONOMER	
G6886	b1646	1724134	1724655	G6886-MONOMER	SUPEROX-DISMUT-RXN
G6845	b1587	1658069	1660495	G6845-MONOMER	RXN-24479
EG12495	b4195	4421708	4422172	YJFU-MONOMER	RXN0-2461
EG11643	b1535	1622960	1623850	EG11643-MONOMER	RXN0-5359
G6219	b0367	386971	387798	TAUC-MONOMER	ABC-64-RXN
G7409	b2700	2823849	2824346	G7409-MONOMER	NMNAMIDOHYDRO-RXN
EG11291	b2936	3081913	3082671	EG11291-MONOMER	RXN0-3221
G6815	b1541	1629215	1629418	G6815-MONOMER	
G7724	b4474	3502340	3503170	G7724-MONOMER	RXN0-4841
G6300	b0544	568902	570428	G6300-MONOMER	
