Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_prot,DSS3_ac_v_DSS3_late_FOLD_CHANGE_prot,DSS3_ac_v_DSS3_early_FOLD_CHANGE_prot,DSS3_glc_v_DSS3_late_FOLD_CHANGE_prot,DSS3_glc_v_DSS3_early_FOLD_CHANGE_prot,DSS3_late_v_DSS3_early_FOLD_CHANGE_prot,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
11,3283,0.0034060105,0.000102358966666666,1.52112699999999e-05,0.000566488,5.1317400163387,8.02017353816702,2.6843399993702,2.88843352182831,-2.4474000169685,-5.33583353879682,4.46222203256224e-07,0.00012666973744818,True,0.0,0.0,0.0,,,,SPO3287,K02012,,"ABC-type Fe3+ transport system, periplasmic component (AfuA) (PDB:6IVY)",1,SPO_RS16645,1.0,3.6.3.30-RXN
12,3099,0.003547026,0.012547212,0.001988067,0.00291484733333333,-1.8233416481965,0.868613303918897,0.289443060294496,2.6919549521154,2.112784708491,-0.5791702436244,4.49630686917505e-07,0.000138185168125287,True,0.0,,,0.0,,,SPO3103,K01938,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Formyltetrahydrofolate synthetase (MIS1) (PDB:1EG7),1,SPO_RS15725,1.0,FORMATETHFLIG-RXN
13,1009,0.001734378,0.0121836353333333,0.00345122433333333,0.00233737399999999,-2.91351611781481,-1.08279575886305,-0.527374841547086,1.83072035895175,2.38614127626773,0.555420917315972,7.79438567424326e-07,0.000149700598802395,True,0.0,,,0.0,,,SPO1010,K01961,3-Hydroxypropionate bi-cycle,"Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)",1,SPO_RS05085,2.0,"ACETYL-COA-CARBOXYLTRANSFER-RXN, BIOTIN-CARBOXYL-RXN"
14,3536,0.000582334,0.003665006,0.000852672333333333,0.000592251666666666,-2.69231395039422,-0.587920050225452,0.204963857190282,2.10439390016877,2.89727780758451,0.792883907415735,8.89472900596151e-07,0.000161216029479502,True,0.0,,,0.0,,,SPO3537,K13893,,"ABC-type oligopeptide transport system, periplasmic component (OppA) (PDB:1B05)",1,SPO_RS17920,0.0,
15,3165,0.0014175905,0.010194133,0.00192177199999999,0.002138609,-2.87185634505574,-0.460073380605834,-0.594579552073099,2.41178296444991,2.27727679298264,-0.134506171467265,1.20195136683828e-06,0.000172731460156609,True,0.0,,,0.0,,,SPO3169,K03694,,"ATP-dependent Clp protease, ATP-binding subunit ClpA (ClpA) (PDB:1KSF)",1,SPO_RS16055,1.0,3.4.21.92-RXN
16,2916,0.000656692,0.009369486,0.00254485366666666,0.00113232266666666,-3.85142497475916,-1.94636168355827,-0.774622019352287,1.90506329120088,3.07680295540687,1.17173966420599,1.33737028949074e-06,0.000184246890833717,True,0.0,0.0351,,0.0,,,SPO2920,K01782,beta-Oxidation,Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)!!!3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ),1,SPO_RS14810,0.0,
17,3101,0.00804430999999999,0.0384336233333333,0.00918478066666666,0.00877110599999999,-2.29828475125084,-0.215418587086222,-0.168552326461696,2.08286616416462,2.12973242478915,0.046866260624526,1.73348705069909e-06,0.000195762321510824,True,0.0,,,0.0,,,SPO3105,K03798,,ATP-dependent Zn proteases (HflB) (PDB:1LV7),1,SPO_RS15735,1.0,RXN-21299
18,2927,9.06006e-06,0.000142345333333333,3.48464e-05,6.50466e-06,-4.08210092388958,-2.05889443658181,0.861652537681216,2.02320648730777,4.9437534615708,2.92054697426302,1.90578147088533e-06,0.000207277752187931,True,0.0,,,0.0,,,SPO2931,,,Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V),1,SPO_RS14865,0.0,
19,3224,0.000275305,0.003062435,0.001371277,0.000469816,-3.47979011179288,-2.29095866035228,-0.767499368562655,1.18883145144059,2.71229074323022,1.52345929178962,2.18734878372327e-06,0.000218793182865039,True,0.0,0.0019,,0.0001,,,SPO3228,K03529,,Chromosome segregation ATPase Smc (Smc) (PDB:5XG3),1,SPO_RS16350,0.0,
20,3956,0.007093176,0.0319319666666666,0.00518220233333333,0.006121537,-2.21204194099745,0.413009999934597,0.166520478854657,2.62505194093204,2.3785624198521,-0.246489521079939,2.46040924401714e-06,0.000230308613542146,True,0.0,,,0.0,,,SPOA0059,K00281,Photorespiration,"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain (GcvP1) (PDB:4LGL)!!!Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain (GcvP2) (PDB:4LGL)",1,SPO_RS20070,1.0,GCVP-RXN
21,1522,0.0019419885,0.0310992563333333,0.00348510233333333,0.00387143266666666,-4.02407791846966,-0.871322710007458,-1.01181835979718,3.1527552084622,3.01225955867248,-0.140495649789727,2.83601513220178e-06,0.000241824044219253,True,0.0,,,0.0,,,SPO1519,K03520,,"Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)",1,SPO_RS07730,0.0,
22,3413,4.45726e-05,0.004010572,0.000249643666666666,0.000227632333333333,-6.48214257861212,-2.3991693603477,-2.35093404366489,4.08297321826442,4.13120853494723,0.0482353166828133,2.95341846624327e-06,0.000253339474896361,True,0.0,,,0.0,,,SPO3416,K03466,,DNA segregation ATPase FtsK/SpoIIIE or related protein (FtsK) (PDB:2IUT),1,SPO_RS17295,0.0,
23,3190,0.002029794,0.0124298403333333,0.00466778,0.00287572199999999,-2.60889160937045,-1.19860988963676,-0.494833803296902,1.41028171973369,2.11405780607355,0.703776086339858,3.03394652756619e-06,0.000264854905573468,True,0.0,0.0268,,0.0,,,SPO3194,K00525,"Pyrimidine deoxyribonucleotide biosynthesis, CDP => dCTP",Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R),1,SPO_RS16180,9.0,"RIBONUCLEOSIDE-DIP-REDUCTI-RXN, ADPREDUCT-RXN, RXN0-748, GDPREDUCT-RXN, UDPREDUCT-RXN, RXN0-722, RXN0-747, CDPREDUCT-RXN, RIBONUCLEOSIDE-DIP-REDUCTII-RXN"
24,3031,0.002101142,0.006714973,0.002231759,0.00209232,-1.72544663025643,-0.127166300654637,-0.042694161766672,1.59828032960179,1.68275246848976,0.0844721388879659,3.83505505370047e-06,0.000276370336250575,True,0.0,,,0.0,,,SPO3034,K08484,,Signal transduction protein containing GAF and PtsI domains (PtsP),1,SPO_RS15380,3.0,"2.7.3.9-RXN, RXN-17354, RXN-17355"
25,1293,0.000798598,0.00381684666666666,0.001170056,0.000788682,-2.26119028895452,-0.544500911032356,0.0804846063961601,1.71668937792216,2.34167489535068,0.624985517428516,5.49710620982716e-06,0.000287885766927683,True,0.0,,,0.0,,,SPO1292,K03821,,Poly-beta-hydroxybutyrate synthase (PhaC) (PDB:5XAV),1,SPO_RS06580,1.0,RXN1-42
26,632,0.001399164,0.00822141133333333,0.00254535666666666,0.00103212533333333,-2.54867005614755,-0.833625602791398,0.46753906523465,1.71504445335615,3.0162091213822,1.30116466802604,7.52439639244848e-06,0.00029940119760479,True,0.0,,,0.0,,,SPO0633,K00681,,Gamma-glutamyltranspeptidase (Ggt) (PDB:2Z8I) (PUBMED:16618936),1,SPO_RS03205,5.0,"RXN-6601, RXN-9157, RXN-18092, GAMMA-GLUTAMYLTRANSFERASE-RXN, RXN66-336"
27,1273,0.0009233525,0.007904108,0.000568705333333333,0.00123845933333333,-3.23213891124157,0.56537030686672,-0.553343930085963,3.79750921810829,2.6787949811556,-1.11871423695268,1.1752817157932e-05,0.000310916628281897,True,0.0001,,,0.0,,,SPO1272,,,,1,SPO_RS06480,0.0,
28,3346,0.000519404,0.003484489,0.000936802333333333,0.000499002666666666,-2.99256310434371,-1.06945117841427,-0.0588176994958846,1.92311192592944,2.93374540484783,1.01063347891838,1.24072515423979e-05,0.000322432058959005,True,0.0,,,0.0001,,,SPO3349,,,L-asparaginase II (AnsA2),1,SPO_RS16965,1.0,ASPARAGHYD-RXN
29,3673,1.0151185e-05,0.000158906,1.69186533333333e-05,7.52879333333333e-06,-4.27841504074717,-0.937928083587415,0.738454212909005,3.34048695715975,5.01686925365617,1.67638229649642,1.34195148128808e-05,0.000333947489636112,True,0.0001,,,0.0,,,SPO3673,K01406,,"Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)",1,SPO_RS22625,0.0,
30,1357,6.0217e-06,5.26554e-05,7.22604e-06,7.22604e-06,-3.44538025151881,-0.333333333333332,-0.333333333333332,3.11204691818548,3.11204691818548,0.0,1.42636874176998e-05,0.000345462920313219,True,0.0001,,,0.0,,,SPO1356,,,16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR),1,SPO_RS06910,0.0,
31,3386,0.0163849905,0.0917654016666666,0.0338165486666666,0.0203885866666666,-2.49722991247516,-1.04480966084444,-0.316534896732556,1.45242025163072,2.1806950157426,0.728274764111883,1.46041118612477e-05,0.000356978350990327,True,0.0,,,0.0001,,,SPO3389,K00962,,Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase) (Pnp) (PDB:1E3P),1,SPO_RS17165,1.0,2.7.7.8-RXN
32,1406,0.0025212305,0.012212111,0.00288542933333333,0.00244346166666666,-2.29490893637244,-0.206172498243962,0.0304782330306903,2.08873643812848,2.32538716940313,0.236650731274652,1.65431592467029e-05,0.000368493781667434,True,0.0001,,,0.0,,,SPO1403,K01874,,Methionyl-tRNA synthetase (MetG) (PDB:1A8H),1,SPO_RS07160,2.0,"METHIONINE--TRNA-LIGASE-RXN, RXN-16165"
33,692,0.01205954,0.000843114,0.001801385,0.008851128,4.05186356790594,2.87703395399461,0.431746737745835,-1.17482961391132,-3.62011683016011,-2.44528721624878,1.77019606025843e-05,0.000380009212344541,True,0.0,0.0001,,,,,SPO0693,K14448,Ethylmalonyl pathway,Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC),1,SPO_RS03500,18.0,"RXN-13615, RXN-14229, RXN-14278, BUTYRYL-COA-DEHYDROGENASE-RXN, ACYLCOADEHYDROG-RXN, RXN-17783, RXN-17779, RXN-17775, RXN-9526, RXN-9538, RXN-9530, RXN-9521, RXN-22455, RXN-9542, RXN-9515, RXN-9534, ENOYL-ACP-REDUCT-NADPH-RXN, RXN-8959"
34,3414,0.000255026,0.001634824,0.000390340666666666,0.000318141666666666,-2.67378241552127,-0.601722417831537,-0.288732618629561,2.07205999768973,2.38504979689171,0.312989799201975,1.9495792631921e-05,0.000391524643021649,True,0.0001,,,0.0001,,,SPO3417,K14267,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R),1,SPO_RS17300,0.0,
35,1214,4.588255e-05,0.000425105,5.17649666666666e-05,6.07061333333333e-05,-3.41770199556823,-0.335477256669326,-0.397548435348948,3.0822247388989,3.02015356021928,-0.0620711786796217,2.02292330337179e-05,0.000403040073698756,True,0.0001,,,0.0,,,SPO1214,K01451,,Metal-dependent amidase/aminoacylase/carboxypeptidase (AbgB) (PDB:3RAM) (PUBMED:17307853),1,SPO_RS06160,0.0,
36,354,0.0044295615,0.000480243,0.00270896133333333,0.00355467566666666,3.29422280356848,0.71737216901973,0.321131991646836,-2.57685063454875,-2.97309081192164,-0.396240177372893,2.07259926644935e-05,0.000414555504375863,True,0.0,0.0044,,0.0005,,,SPO0355,K14449,Ethylmalonyl pathway,Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),1,SPO_RS01805,0.0,
37,3780,0.005806523,4.94602e-05,1.44520933333333e-05,2.19457666666666e-05,7.39849120592439,10.2594000818226,8.08404504245389,2.86090887589822,0.685553836529504,-2.17535503936872,2.24954619441149e-05,0.000426070935052971,True,0.0001,0.0,0.0,,,,SPO3778,K02032,,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)",1,SPO_RS19175,0.0,
38,1274,0.002063058,0.00828467933333333,0.00331083366666666,0.00283075666666666,-2.03135338286209,-0.713553942313412,-0.469757602440966,1.31779944054868,1.56159578042113,0.243796339872446,2.36587970441146e-05,0.000437586365730078,True,0.0,,,0.0001,,,SPO1273,K03465,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP","Thymidylate synthase ThyX, FAD-dependent family (ThyX) (PDB:1KQ4)",1,SPO_RS06485,1.0,RXN-8850
39,1361,0.00156344549999999,0.00624772233333333,0.00157379533333333,0.00147590499999999,-2.00974705855707,0.0087092733382228,0.0758700364274069,2.01845633189529,2.08561709498448,0.0671607630891841,2.65626385695871e-05,0.000449101796407185,True,0.0001,,,0.0001,,,SPO1359,K01006,"CAM (Crassulacean acid metabolism), light",Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6),1,SPO_RS06930,1.0,PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
40,2789,8.01773e-05,0.000378974,0.000125823766666666,5.77087333333333e-05,-2.2522872234535,-0.612213863730456,0.879143510389157,1.64007335972304,3.13143073384265,1.49135737411961,2.67324271717463e-05,0.000460617227084292,True,0.0001,,,0.0001,,,SPO2793,K00253,beta-Oxidation,Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC),1,SPO_RS14190,1.0,RXN0-2301
41,2389,7.51508e-05,0.000514601,6.31074e-05,8.33403333333333e-05,-2.87758411602277,0.143776789479149,-0.224584288646342,3.02136090550192,2.65299982737643,-0.368361078125492,3.14745501291544e-05,0.0004721326577614,True,0.0001,,,0.0001,,,SPO2389,K08351,,Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1),1,SPO_RS12120,0.0,
42,3584,8.527625e-06,0.000216874999999999,5.68508e-05,3.06994e-05,-4.98189469250283,-2.9379259985372,-2.16992265173211,2.04396869396563,2.81197204077072,0.768003346805091,3.15440133636656e-05,0.000483648088438507,True,0.0001,,,0.0002,,,SPO3585,K08311,,"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family (MutT) (PDB:4V14)",1,SPO_RS18160,1.0,RXN0-5510
43,3372,0.00010446845,0.00136258433333333,0.000199672333333333,0.000218202,-3.95033647472033,-1.15344284180381,-1.28873559430165,2.79689363291652,2.66160088041868,-0.135292752497836,3.21012117171934e-05,0.000495163519115614,True,0.0001,,,0.0001,,,SPO3375,,,"Uncharacterized conserved protein, heparinase superfamily",1,SPO_RS17095,0.0,
44,3183,4.970315e-05,9.63971333333333e-06,5.8666e-05,9.23446e-06,2.53439934302894,-0.263034012367144,2.51691664437254,-2.79743335539608,-0.0174826986563978,2.77995065673969,3.59262175659778e-05,0.000506678949792722,True,0.0007,,0.0007,0.0001,,,SPO3187,K16844,,"Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family (AllD) (PDB:1NXU)",1,SPO_RS16145,0.0,
45,2629,0.001432425,0.0182566776666666,0.00552747533333333,0.00195252599999999,-3.66756082758737,-1.84569507808218,-0.350741741139367,1.82186574950518,3.316819086448,1.49495333694282,3.94789639915196e-05,0.000518194380469829,True,0.0001,,,0.0003,,,SPO2634,K00381,"Assimilatory sulfate reduction, sulfate => H2S","Sulfite reductase, beta subunit (hemoprotein) (CysI) (PDB:1AOP)",1,SPO_RS13360,1.0,SULFITE-REDUCT-RXN
46,3105,0.002062861,0.00851046933333333,0.00328965233333333,0.002700025,-2.13085398276051,-0.729524523025688,-0.461378977946147,1.40132945973482,1.66947500481436,0.268145545079541,4.41443917725096e-05,0.000529709811146936,True,0.0001,,,0.0002,,,SPO3109,K03641,,Periplasmic component TolB of the Tol biopolymer transport system (TolB) (PDB:1C5K),1,SPO_RS15755,0.0,
47,975,0.000637255,0.000230584333333333,0.00233717633333333,0.000706909666666666,1.71052222328638,-1.90760177531602,-0.0523345552344807,-3.61812399860241,-1.76285677852086,1.85526722008154,4.92047745882639e-05,0.000541225241824044,True,,0.0004,,0.0,,,SPO0976,K09796,,Copper(I)-binding protein (PDB:1X9L),1,SPO_RS04905,0.0,
48,2047,0.000206324349999999,0.00753778766666666,0.00144851466666666,0.000624236666666666,-5.48996106157892,-3.12768675895895,-1.89893230547773,2.36227430261996,3.59102875610118,1.22875445348121,5.54574028475075e-05,0.000552740672501151,True,0.0001,,,0.0002,,,SPO2045,K20034,,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459),1,SPO_RS10375,1.0,RXN-12571
49,351,0.0077174085,0.000315269333333333,0.004460232,0.0102930896666666,4.74564374770031,0.778191814726951,-0.434724919663291,-3.96745193297336,-5.18036866736361,-1.21291673439024,5.78313750888861e-05,0.000564256103178258,True,0.0006,,,0.0096,,,SPO0352,K14451,Ethylmalonyl pathway,Citrate lyase beta subunit (CitE) (PDB:4ROQ),1,SPO_RS01790,0.0,
50,3242,0.000986368,0.003887598,0.000825204333333333,0.000982778666666666,-2.01823392343857,0.209397631876072,-0.00426436491924064,2.22763155531465,2.01396955851933,-0.213661996795313,5.79129653654236e-05,0.000575771533855366,True,0.0003,,,0.0001,,,SPO3246,K03106,,Signal recognition particle GTPase (Ffh) (PDB:2V3C),1,SPO_RS16440,0.0,
51,3630,0.00163158699999999,0.003542458,0.001017892,0.001406139,-1.11418129922457,0.739936922266784,0.221616315475142,1.85411822149135,1.33579761469971,-0.518320606791641,6.21958455210945e-05,0.000587286964532473,True,0.0008,,,0.0001,,,SPO3631,K03286,,Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins (OmpA) (PDB:1OAP),1,SPO_RS18395,0.0,
52,1254,0.0001335045,0.00268112766666666,0.000286100666666666,0.000434345333333333,-4.34854009683701,-1.11137362475735,-1.64382022178456,3.23716647207965,2.70471987505245,-0.532446597027206,7.60688205316724e-05,0.00059880239520958,True,0.0002,,,0.0001,,,SPO1253,K02622,,"DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)",1,SPO_RS06385,2.0,"5.99.1.2-RXN, 5.99.1.3-RXN"
53,2218,1.76443e-05,2.48497e-06,9.92492e-06,2.756925e-06,2.82790185544827,0.830074816856582,2.99999836469089,-1.99782703859169,0.172096509242617,2.16992354783431,7.92598775325103e-05,0.000610317825886688,True,0.0001,0.0018,0.0001,0.0021,,,SPO2214,,,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",1,SPO_RS11230,0.0,
54,3806,0.0002428345,0.000915298333333333,0.000115501733333333,0.000193333333333333,-1.94268423638893,1.09075297779896,0.305419144297006,3.0334372141879,2.24810338068594,-0.785333833501962,0.000102573355945629,0.000621833256563795,True,0.0008,,,0.0001,,,SPO3804,K20035,,Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC),1,SPO_RS19300,1.0,RXN-12572
55,1323,3.6652e-05,0.000151206666666666,1.64233e-05,4.40625e-05,-2.05137304510328,1.18358299546216,-0.23593947091882,3.23495604056545,1.81543357418446,-1.41952246638098,0.000121034204182566,0.000633348687240902,True,0.0007,,,0.0001,,,SPO1323,K01752,,L-serine deaminase (SdaA) (PDB:4RQO),1,SPO_RS06745,2.0,"4.3.1.17-RXN, RXN-15125"
56,576,0.0001585805,0.00114920766666666,0.000137649333333333,0.000162837666666666,-2.922899456975,0.144429108829964,-0.0728571201633201,3.06732856580496,2.85004233681168,-0.217286228993284,0.000121184222501868,0.00064486411791801,True,0.0005,,,0.0002,,,SPO0574,K02021,,"cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)!!!ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)",1,SPO_RS02895,0.0,
57,3148,0.0006178265,1.16344766666666e-05,5.02297666666666e-05,0.000568154666666666,5.90284458742941,3.94390206227317,0.0966820194700073,-1.95894252515623,-5.8061625679594,-3.84722004280316,0.000121463200133851,0.000656379548595117,True,0.0006,0.0009,,,,,SPO3152,K17865,Ethylmalonyl pathway,Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),1,SPO_RS15970,0.0,
58,3863,0.0043512325,0.0136851286666666,0.00666226066666666,0.005752114,-1.65266837965281,-0.599639259437185,-0.354516851776051,1.05302912021563,1.29815152787676,0.245122407661133,0.000125645589927927,0.000667894979272224,True,0.0002,,,0.0006,,,SPO3861,K01251,Methionine degradation,S-adenosylhomocysteine hydrolase (SAM1) (PDB:1A7A),1,SPO_RS19595,1.0,ADENOSYLHOMOCYSTEINASE-RXN
59,3772,0.001177223,0.00484937433333333,0.00187780033333333,0.00189238366666666,-2.12457323949382,-0.754187343354823,-0.742565810539112,1.370385896139,1.38200742895471,0.0116215328157114,0.000125805432853695,0.000679410409949332,True,0.0002,,,0.0004,,,SPO3770,K00266,,NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X),1,SPO_RS19135,0.0,
60,2033,0.000464445499999999,0.003659855,0.000467013666666666,0.000517762666666666,-2.98981771487517,-0.0347785251429915,-0.0407328912858222,2.95503918973218,2.94908482358935,-0.00595436614283073,0.000132170388572693,0.000690925840626439,True,0.0005,,,0.0003,,,SPO2031,K06207,,Predicted membrane GTPase TypA/BipA involved in stress response (TypA) (PDB:5A9V),1,SPO_RS10305,0.0,
61,229,0.000927894,0.00382594633333333,0.00179812733333333,0.00139170133333333,-2.03597763057061,-0.946019998435529,-0.561437898760102,1.08995763213508,1.47453973181051,0.384582099675427,0.000134066710702079,0.000702441271303546,True,0.0002,,,0.0009,,,SPO0231,K00344,,NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY),1,SPO_RS01180,0.0,
